step,loss,logits_loss,aux_loss,lr
55000,1.4812,1.4812,0.0,1.02e-06
55100,1.3976,1.3976,0.0,1.02e-06
55200,1.5326,1.5326,0.0,1.01e-06
55300,1.4754,1.4754,0.0,1.01e-06
55400,1.4154,1.4154,0.0,1.01e-06
55500,1.693,1.693,0.0,1.01e-06
55600,1.5726,1.5726,0.0,1.01e-06
55700,1.4443,1.4443,0.0,1.01e-06
55800,1.5395,1.5395,0.0,1e-06
55900,1.5543,1.5543,0.0,1e-06
56000,1.751,1.751,0.0,1e-06
56100,1.5817,1.5817,0.0,1e-06
56200,1.5218,1.5218,0.0,1e-06
56300,1.5982,1.5982,0.0,1e-06
56400,1.5347,1.5347,0.0,1e-06
56500,1.4114,1.4114,0.0,1e-06
56600,1.6995,1.6995,0.0,1e-06
56608,1.5287,1.5287,0.0,1e-06
